,"Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
,"2016","2015","2010","2005","2000"
"Country","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Afghanistan","4.7","4.8","5.1","6.3","5.7"
"Albania","6.3","6.0","7.8","6.7","5.5"
"Algeria","3.2","3.2","3.3","3.8","4.1"
"Angola","4.7","5.0","5.7","7.2","7.9"
"Antigua and Barbuda","0.5","0.8","0.3","1.2","2.0"
"Argentina","9.2","8.8","8.7","9.0","9.5"
"Armenia","6.6","7.0","6.0","4.4","3.3"
"Australia","13.2","13.8","12.5","12.3","13.2"
"Austria","15.6","16.0","16.0","17.3","20.0"
"Azerbaijan","2.6","2.7","3.1","3.2","2.2"
"Bahamas","1.7","1.8","2.0","2.2","2.0"
"Bahrain","5.9","5.9","5.2","7.0","6.7"
"Bangladesh","5.9","6.1","6.4","6.3","6.7"
"Barbados","0.8","0.7","2.1","3.7","2.1"
"Belarus","26.2","26.3","38.2","45.1","43.1"
"Belgium","20.7","20.1","21.3","21.2","22.7"
"Belize","4.7","4.8","4.9","4.9","5.5"
"Benin","9.9","9.9","9.6","9.7","9.5"
"Bhutan","11.4","11.6","11.1","12.2","12.4"
"Bolivia (Plurinational State of)","12.2","12.4","14.1","15.3","16.4"
"Bosnia and Herzegovina","8.8","8.9","8.0","9.3","10.7"
"Botswana","9.3","9.7","11.1","12.6","11.8"
"Brazil","6.5","6.5","5.7","5.5","4.8"
"Brunei Darussalam","4.6","4.5","3.7","3.3","2.8"
"Bulgaria","11.5","11.4","12.5","13.4","18.5"
"Burkina Faso","7.7","7.7","7.5","7.6","8.2"
"Burundi","9.1","8.9","9.0","8.4","7.1"
"Cabo Verde","11.3","11.0","11.1","10.1","9.4"
"Cambodia","5.3","5.3","5.4","5.9","5.6"
"Cameroon","12.2","12.3","11.7","11.9","13.3"
"Canada","12.5","12.5","13.0","13.2","13.0"
"Central African Republic","7.7","8.1","9.5","8.8","8.8"
"Chad","8.8","8.9","8.7","8.5","8.0"
"Chile","10.6","10.9","12.2","10.6","10.9"
"China","9.7","9.6","10.9","11.7","13.2"
"Colombia","7.2","8.3","7.2","6.7","7.6"
"Comoros","6.8","6.8","6.6","6.5","5.1"
"Congo","5.9","6.1","7.4","9.1","10.0"
"Costa Rica","7.9","7.9","8.6","7.9","7.3"
"Côte d'Ivoire","14.5","14.4","12.7","11.2","9.5"
"Croatia","16.5","17.8","18.6","20.2","21.3"
"Cuba","13.9","13.7","14.4","13.0","17.4"
"Cyprus","5.3","4.9","5.7","2.6","2.2"
"Czechia","13.1","13.7","15.4","16.5","17.0"
"Democratic People's Republic of Korea","11.2","11.4","11.9","10.9","10.0"
"Democratic Republic of the Congo","5.7","5.6","5.5","6.1","6.6"
"Denmark","12.8","11.9","12.7","16.2","16.0"
"Djibouti","6.7","6.4","5.2","5.9","5.8"
"Dominican Republic","9.9","9.7","8.0","8.2","9.1"
"Ecuador","7.1","9.6","8.5","8.9","6.1"
"Egypt","4.0","3.8","3.6","3.4","3.3"
"El Salvador","13.7","14.0","10.8","9.9","13.4"
"Equatorial Guinea","16.4","16.5","16.7","13.7","15.5"
"Eritrea","7.9","8.1","9.0","10.4","11.6"
"Estonia","17.8","15.8","18.3","22.5","29.5"
"Eswatini","13.3","13.1","11.9","12.0","11.6"
"Ethiopia","7.2","7.2","7.3","7.9","8.0"
"Fiji","5.0","5.0","4.8","3.5","4.3"
"Finland","15.9","14.4","18.9","20.4","24.6"
"France","17.7","18.0","20.2","21.1","22.3"
"Gabon","7.1","7.3","6.9","6.1","6.7"
"Gambia","5.1","5.2","5.1","5.7","6.6"
"Georgia","8.2","8.1","6.9","5.0","6.0"
"Germany","13.6","13.8","13.7","13.6","14.7"
"Ghana","5.4","5.3","4.7","4.3","4.0"
"Greece","5.0","4.8","3.3","3.5","3.4"
"Grenada","1.7","1.1","0.9","2.7","1.9"
"Guatemala","2.7","3.1","2.9","3.2","3.2"
"Guinea","6.3","6.4","6.6","6.8","6.3"
"Guinea-Bissau","4.0","3.9","4.2","4.4","5.0"
"Guyana","29.2","29.1","26.8","24.4","23.4"
"Haiti","11.7","11.7","10.2","9.5","8.7"
"Honduras","2.9","2.8","2.5","2.5","2.3"
"Hungary","19.1","20.3","26.0","26.7","32.5"
"Iceland","14.0","14.0","13.3","12.2","16.2"
"India","16.3","16.5","16.5","17.6","17.4"
"Indonesia","3.4","3.4","3.6","3.8","3.9"
"Iran (Islamic Republic of)","4.1","4.0","6.6","10.7","10.7"
"Iraq","3.0","3.1","2.8","2.5","2.7"
"Ireland","11.5","11.5","12.0","11.9","12.4"
"Israel","5.4","5.0","7.3","7.6","7.5"
"Italy","8.2","8.0","7.5","7.0","7.8"
"Jamaica","2.2","2.1","2.0","1.9","2.3"
"Japan","18.5","19.4","24.4","24.9","24.7"
"Jordan","2.9","2.9","2.8","3.1","3.4"
"Kazakhstan","22.5","24.9","32.7","39.4","34.0"
"Kenya","3.2","3.1","3.1","3.9","4.4"
"Kiribati","14.4","14.5","14.5","13.9","13.7"
"Kuwait","2.3","2.3","1.9","2.3","2.0"
"Kyrgyzstan","8.3","8.1","11.3","10.9","12.6"
"Lao People's Democratic Republic","8.6","8.5","8.9","9.4","10.1"
"Latvia","21.2","21.6","22.7","26.7","34.7"
"Lebanon","3.3","3.3","3.2","3.1","3.0"
"Lesotho","21.2","21.0","20.1","18.6","18.0"
"Liberia","6.8","6.5","6.5","6.8","5.7"
"Libya","5.2","4.2","5.4","5.6","5.3"
"Lithuania","31.9","34.9","37.3","43.9","50.7"
"Luxembourg","13.5","14.7","12.9","14.3","16.8"
"Madagascar","3.9","4.0","4.3","4.5","4.7"
"Malawi","3.7","3.6","3.8","4.5","6.2"
"Malaysia","5.5","5.4","5.1","5.4","5.3"
"Maldives","2.3","2.6","3.2","3.3","4.4"
"Mali","4.8","4.8","4.8","4.9","5.5"
"Malta","7.5","8.0","8.0","5.6","6.5"
"Mauritania","4.4","4.3","3.9","3.5","3.4"
"Mauritius","7.8","8.5","8.1","8.8","11.1"
"Mexico","5.1","5.6","4.6","4.3","3.6"
"Micronesia (Federated States of)","11.1","11.4","11.1","11.9","10.8"
"Mongolia","13.0","13.1","16.6","17.1","17.9"
"Montenegro","10.3","10.0","10.4","11.4","10.4"
"Morocco","2.9","2.9","3.7","5.3","6.9"
"Mozambique","4.9","4.9","5.6","6.7","8.8"
"Myanmar","7.8","7.6","7.3","7.7","7.3"
"Namibia","8.7","9.0","10.4","10.4","10.9"
"Nepal","8.8","9.1","10.5","12.5","15.4"
"Netherlands","12.6","12.5","10.0","9.9","9.8"
"New Zealand","12.1","12.1","13.0","13.3","12.9"
"Nicaragua","12.2","12.2","12.5","14.4","17.2"
"Niger","4.6","4.7","4.9","4.9","4.6"
"Nigeria","9.5","9.6","10.0","9.6","10.2"
"Norway","12.2","12.4","12.6","12.7","13.3"
"Oman","3.9","4.1","3.7","3.4","4.3"
"Pakistan","2.9","2.9","3.1","3.5","3.4"
"Panama","4.3","3.9","5.1","6.3","6.0"
"Papua New Guinea","6.0","6.0","5.4","5.8","7.1"
"Paraguay","9.5","9.9","9.3","10.1","10.1"
"Peru","4.9","4.9","4.6","4.6","5.1"
"Philippines","3.2","3.2","3.3","2.6","2.5"
"Poland","16.2","15.8","18.6","17.7","16.9"
"Portugal","14.0","13.8","13.5","11.1","7.5"
"Qatar","6.6","6.5","6.1","3.2","3.4"
"Republic of Korea","26.9","28.3","34.1","26.8","14.8"
"Republic of Moldova","15.9","16.4","20.9","19.2","16.4"
"Romania","10.4","11.6","14.0","12.5","13.2"
"Russian Federation","31.0","32.1","40.0","51.6","52.6"
"Rwanda","6.7","6.8","7.5","10.9","15.6"
"Saint Lucia","7.8","7.8","6.1","3.0","6.4"
"Saint Vincent and the Grenadines","2.4","2.7","3.3","9.9","6.3"
"Samoa","4.4","4.5","5.0","6.5","8.3"
"Sao Tome and Principe","2.3","2.3","2.0","1.8","2.0"
