,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2015","2010"
"Afghanistan","Data source","All types","0.02","0.03"
"Albania","Data source","All types","4.77","5.53"
"Algeria","Data source","All types","0.56","0.39"
"Andorra","Data source","All types","9.97","10.64"
"Angola","Data source","All types","5.65","7.67"
"Antigua and Barbuda","Data source","All types","8.45","7.81"
"Argentina","Data source","All types","8.42","8.15"
"Armenia","Data source","All types","3.84","4.23"
"Australia","Data source","All types","9.52","10.52"
"Austria","Data source","All types","11.40","12.10"
"Azerbaijan","Data source","All types","0.84","1.90"
"Bahamas","Data source","All types","8.65","8.75"
"Bahrain","Data source","All types","2.16","2.10"
"Bangladesh","Data source","All types","0.01","0.01"
"Barbados","Data source","All types","9.15","8.45"
"Belarus","Data source","All types","10.09","13.88"
"Belgium","Data source","All types","10.36","10.27"
"Belize","Data source","All types","6.20","6.38"
"Benin","Data source","All types","1.55","1.37"
"Bhutan","Data source","All types","","1.16"
"Bolivia (Plurinational State of)","Data source","All types","3.61","3.90"
"Bosnia and Herzegovina","Data source","All types","4.33","4.50"
"Botswana","Data source","All types","6.22","5.61"
"Brazil","Data source","All types","6.97","7.38"
"Brunei Darussalam","Data source","All types","0.64","0.87"
"Bulgaria","Data source","All types","11.30","10.83"
"Burkina Faso","Data source","All types","4.87","4.65"
"Burundi","Data source","All types","","4.16"
"Cabo Verde","Data source","All types","4.12","4.73"
"Cambodia","Data source","All types","3.32","2.14"
"Cameroon","Data source","All types","6.50","6.17"
"Canada","Data source","All types","8.00","8.40"
"Central African Republic","Data source","All types","1.68","1.82"
"Chad","Data source","All types","0.69","0.55"
"Chile","Data source","All types","7.89","7.55"
"China","Data source","All types","5.74","5.75"
"Colombia","Data source","All types","4.43","4.21"
"Comoros","Data source","All types","","0.15"
"Congo","Data source","All types","4.86","4.12"
"Cook Islands","Data source","All types","","13.01"
"Costa Rica","Data source","All types","3.63","3.65"
"Côte d'Ivoire","Data source","All types","4.79","4.77"
"Croatia","Data source","All types","9.89","12.11"
"Cuba","Data source","All types","4.60","4.10"
"Cyprus","Data source","All types","9.55","11.32"
"Czechia","Data source","All types","12.82","12.65"
"Democratic People's Republic of Korea","Data source","All types","3.35","3.12"
"Democratic Republic of the Congo","Data source","All types","1.39","1.67"
"Denmark","Data source","All types","9.38","10.24"
"Djibouti","Data source","All types","0.37","0.50"
