"","country","wb.countrycode","pop.2015","happiness.score","hdi.2015","years.schooling","suicide.per100k","homicide.per100k","prison.pop.100k","consumption.percapita"
"1","Afghanistan","AFG",33736494,3.575,0.479,3.5,4.8,7.4,88,0.02
"2","Angola","AGO",27859305,4.033,0.533,5,5,10.1,93,5.65
"3","Albania","ALB",2880703,4.959,0.764,9.6,6,4.2,193,4.77
"4","United Arab Emirates","ARE",9154302,6.901,0.84,9.5,2.8,3.9,104,2.03
"5","Argentina","ARG",43417765,6.574,0.827,9.8,8.8,6.3,186,8.42
"6","Armenia","ARM",2916950,4.35,0.743,11.3,7,2.5,131,3.84
"7","Australia","AUS",23850784,7.284,0.939,13.2,13.8,1.1,167,9.52
"8","Austria","AUT",8642699,7.2,0.893,11.3,16,0.6,98,11.4
"9","Azerbaijan","AZE",9649341,5.212,0.759,11.2,2.7,2.4,235,0.84
"10","Belgium","BEL",11274196,6.937,0.896,11.4,20.1,1,91,10.36
"11","Benin","BEN",10575952,3.34,0.485,3.5,9.9,6.4,68,1.55
"12","Burkina Faso","BFA",18110624,3.587,0.402,1.4,7.7,9.9,41,4.87
"13","Bangladesh","BGD",161200886,4.694,0.579,5.2,6.1,3,50,0.01
"14","Bulgaria","BGR",7177991,4.218,0.794,10.8,11.4,1.7,125,11.3
"15","Bahrain","BHR",1371855,5.96,0.824,9.4,5.9,0.8,234,2.16
"16","Bosnia & Herzegovina","BIH",3535961,4.949,0.75,9,8.9,3.3,80,4.33
"17","Belarus","BLR",9489616,5.813,0.796,12,26.3,5.3,364,10.09
"18","Bolivia","BOL",10724705,5.89,0.674,8.2,12.4,13.9,156,3.61
"19","Brazil","BRA",205962108,6.983,0.754,7.8,6.5,31.5,328,6.97
"20","Botswana","BWA",2209197,4.332,0.698,9.2,9.7,11.7,208,6.22
"21","Central African Republic","CAF",4546100,3.678,0.352,4.2,8.1,13.7,16,1.68
"22","Canada","CAN",35832513,7.427,0.92,13.1,12.5,1.5,114,8
"23","Switzerland","CHE",8282396,7.587,0.939,13.4,17.1,0.5,82,9.62
"24","Chile","CHL",17762681,6.67,0.847,9.9,10.9,4.6,225,7.89
"25","China","CHN",1371220000,5.14,0.738,7.6,9.6,1,118,5.74
"26","Côte d’Ivoire","CIV",23108472,3.655,0.474,5,14.4,12.2,66,4.79
"27","Cameroon","CMR",22834522,4.252,0.518,6.1,12.3,11.7,121,6.5
"28","Congo - Kinshasa","COD",76196619,4.517,0.435,6.1,5.6,13.4,29,1.39
"29","Congo - Brazzaville","COG",4995648,3.989,0.592,6.3,6.1,10.2,27,4.86
"30","Colombia","COL",48228697,6.477,0.727,7.6,8.3,44.2,227,4.43
"31","Costa Rica","CRI",4807852,7.226,0.776,8.7,7.9,10.2,374,3.63
"32","Cyprus","CYP",1160985,5.695,0.856,11.7,4.9,1.4,83,9.55
"33","Czechia","CZE",10546059,6.505,0.878,12.3,13.7,0.8,207,12.82
"34","Germany","DEU",81686611,6.75,0.926,13.2,13.8,0.7,78,11.99
"36","Denmark","DNK",5683483,7.527,0.925,12.7,11.9,0.8,59,9.38
"37","Dominican Republic","DOM",10528394,4.885,0.722,7.7,9.7,17,241,6.14
"38","Algeria","DZA",39871528,5.605,0.745,7.8,3.2,4.3,146,0.56
"39","Ecuador","ECU",16144368,5.975,0.739,8.3,9.6,8.8,222,3.67
"40","Egypt","EGY",93778172,4.194,0.691,7.1,3.8,4.9,116,0.18
