"","wb.countrycode","prison.pop.100k"
"1","BEL",91
"2","GUY",259
"3","GBR",144
"4","PLW",373
"5","RUS",409
"6","BGD",50
"7","USA",655
"8","PRY",199
"9","NIC",276
"10","SVK",190
"11","ROU",116
"12","POL",198
"13","IRL",82
"14","JOR",197
"15","HND",216
"16","COL",227
"17","CHL",225
"18","BRA",328
"19","PER",267
"20","WSM",204
"21","MHL",66
"22","FJI",158
"23","SAU",197
"24","IRQ",126
"25","PRT",129
"26","TWN",259
"27","SGP",201
"28","MAC",197
"29","JPN",45
"30","IRN",284
"31","CHN",118
"32","TLS",51
"33","DEU",78
"34","ALB",193
"35","LBN",126
"36","BHR",234
"37","LKA",94
"38","HKG",111
"39","AFG",88
"40","PAN",390
"41","MEX",165
"42","ECU",222
"43","DMA",289
"44","SYC",437
"45","KEN",111
"46","CIV",66
"47","ESP",128
"48","MKD",134
"49","DOM",241
"50","TGO",64
"51","NGA",36
"52","AUT",98
"53","AND",69
"54","MUS",195
"55","GHA",50
"56","TCD",59
"57","CPV",298
"58","BDI",84
"59","KWT",157
"60","SWE",57
"61","MNE",174
"62","MCO",85
"63","MDA",215
"64","LVA",218
"65","GEO",254
"66","CYP",83
"67","AZE",235
"68","ARM",131
"69","BRB",300
"70","SDN",46
"71","ZAF",280
"72","SEN",76
"73","GIN",25
"74","GAB",191
"75","ETH",127
"76","GNQ",63
"77","EGY",116
"78","COD",29
"79","COG",27
"80","CAF",16
"81","AGO",93
"82","BHS",438
"83","BOL",156
"84","TUR",287
"85","SRB",152
"86","MLT",133
"87","MOZ",65
"88","MRT",46
"89","BWA",208
"90","ITA",97
"91","CZE",207
"92","ATG",321
"93","GTM",136
"94","NZL",220
"95","AUS",167
"96","FRA",102
"97","EST",202
"98","BGR",125
"99","NAM",295
"100","MAR",232
"101","KHM",176
"102","NER",53
"103","CMR",121
"104","KGZ",171
"105","HTI",96
"106","ARG",186
"107","UGA",129
"108","BEN",68
"109","THA",506
"110","KAZ",186
"111","SLV",609
"112","MWI",80
"113","IDN",94
"114","GRC",93
"115","CRI",374
"116","CAN",114
"117","PAK",43
"118","SVN",64
"119","DNK",59
"120","BLZ",356
"121","TTO",270
"122","VNM",122
"123","BRN",134
"124","SLE",64
"125","TZA",58
"126","NOR",74
"127","LUX",115
"128","LTU",235
"129","ISL",38
"130","HUN",184
"131","URY",321
"132","CHE",82
"133","LCA",279
"134","VEN",178
"135","COM",23
"136","ZMB",146
"137","KIR",113
"138","ZWE",120
"139","TJK",121
"140","MDV",499
"141","LIE",27
"142","BIH",80
"143","GRD",435
"144","MNG",262
"145","NPL",65
"146","MMR",145
"147","VUT",71
"148","PNG",63
"149","UKR",157
"150","FIN",52
"151","TKM",552
"152","PHL",172
"153","SWZ",282
"154","RWA",464
"155","KOR",109
"156","ISR",236
"157","DZA",146
"158","SUR",183
"159","TUV",110
"160","TON",166
"161","SLB",73
"162","NRU",140
"163","FSM",127
"164","YEM",53
"165","QAT",53
"166","HRV",78
"167","VCT",378
"168","UZB",150
"169","MYS",167
"170","IND",33
"171","BTN",145
"172","SSD",52
"173","MLI",33
"174","LBY",99
"175","LSO",92
"176","GNB",10
"177","GMB",58
"178","BFA",41
"179","KNA",393
"180","OMN",36
"181","TUN",180
"182","STP",117
"183","MDG",82
"184","LBR",47
"185","BLR",364
"186","XKX",106
"187","ARE",104
"188","JAM",138
"189","DJI",66
"190","NLD",59
"191","LAO",119
"192","SYR",60
"193","CUB",510
